B|早餐,L|午晚餐,D|單點,SA|甜心卡A區,SB|甜心卡B區,PR|1+1紅區,PW|1+1白區
餐點編號    ,類別  ,品項                ,價格,卡路里
D005        ,單點  ,法式芥末香雞堡      ,45  ,379
D006        ,單點  ,大蛋捲冰淇淋        ,30  ,202
D007        ,單點  ,麥脆雞腿            ,60  ,180
D008        ,單點  ,麥脆雞翅            ,49  ,318
D009        ,單點  ,勁辣香雞翅(1對)     ,49  ,611
D010        ,單點  ,酥嫩雞翅(1對)       ,49  ,183
D011        ,單點  ,麥克雞塊(4塊)       ,49  ,193
D012        ,單點  ,麥克雞塊(6塊)       ,64  ,270
D013        ,單點  ,麥克雞塊(10塊)      ,104 ,449
D014        ,單點  ,漢堡                ,30  ,267
D015        ,單點  ,吉事漢堡            ,45  ,178
D016        ,單點  ,水果袋              ,39  ,36
D017        ,單點  ,凱薩沙拉醬          ,15  ,337
D018        ,單點  ,義式沙拉醬          ,15  ,240
D019        ,單點  ,OREO冰炫風          ,55  ,352
D020        ,單點  ,蛋捲冰淇淋          ,18  ,145
D021        ,單點  ,四季沙拉            ,45  ,315
D022        ,單點  ,可口可樂            ,45  ,149
D023        ,單點  ,可口可樂ZERO        ,45  ,0
D024        ,單點  ,雪碧                ,45  ,163
D025        ,單點  ,冰紅茶(檸檬風味)    ,45  ,117
D026        ,單點  ,冰紅茶(無糖)        ,45  ,3
D027        ,單點  ,冰綠茶(無糖)        ,45  ,0
D028        ,單點  ,奶茶                ,48  ,128
D029        ,單點  ,柳橙汁              ,45  ,154
SA001       ,甜心卡,特選那堤            ,75  ,111
SA002       ,甜心卡,特選那堤            ,90  ,141
SA003       ,甜心卡,卡布奇諾            ,75  ,144
SA004       ,甜心卡,卡布奇諾            ,75  ,152
SA005       ,甜心卡,特選黑咖啡          ,65  ,14
SA006       ,甜心卡,冰奶茶              ,45  ,128
SA007       ,甜心卡,阿薩姆鮮奶茶        ,75  ,183
SA008       ,甜心卡,阿薩姆鮮奶茶        ,90  ,250
SA009       ,甜心卡,大杯可樂            ,40  ,149
SA010       ,甜心卡,檸檬紅茶            ,40  ,117
SA011       ,甜心卡,麥克鷄四塊          ,49  ,180
SA012       ,甜心卡,麥克鷄六塊          ,60  ,330
SA013       ,甜心卡,麥克鷄十塊          ,100 ,300
SA014       ,甜心卡,大薯條              ,55  ,50
SA015       ,甜心卡,冰炫風              ,55  ,128
SA016       ,甜心卡,玉米濃湯            ,52  ,55
SB001       ,甜心卡,蛋捲冰淇淋          ,0   ,130
SB002       ,甜心卡,薯條                ,0   ,230
SB003       ,甜心卡,薯餅                ,0   ,320
PR001       ,1+1   ,吉事漢堡            ,0   ,680
PR002       ,1+1   ,法式芥末香鷄堡      ,0   ,590
PR003       ,1+1   ,勁辣香雞翅          ,50  ,611
PR004       ,1+1   ,蘋果派              ,50  ,229
PR005       ,1+1   ,麥克鷄四塊          ,50  ,193
PR006       ,1+1   ,薯條                ,50  ,150
PR007       ,1+1   ,酥嫩鷄翅            ,50  ,482
PR008       ,1+1   ,蛋捲冰淇淋          ,50  ,130
PW001       ,1+1   ,紅茶                ,0   ,45
PW002       ,1+1   ,玉米濃湯            ,0   ,55
PW003       ,1+1   ,綠茶                ,0   ,30
